Revista,Veces_en_top,Cuartil_JCR (pendiente)
Ingeniería e Investigación,1,
Inorganics,1,
Instrumentation Science & Technology,1,
International Electronic Journal of Mathematics Education,1,
International Journal of Bank Marketing,1,
International Journal of Energy Research,1,
International Journal of Molecular Sciences,1,
International Transactions in Operational Research,1,
Journal of Applied Physics,1,
Journal of Chemical Information and Modeling,1,
Journal of Coordination Chemistry,1,
Journal of environmental chemical engineering,1,
Journal of Environmental Science and Health Part B,1,
Journal of Geophysical Research Space Physics,1,
Journal of Humanistic Mathematics,1,
Journal of Lightwave Technology,1,
Journal of materials research,1,
Journal of Materials Science,1,
Journal of Molecular Liquids,1,
Journal of Nanomedicine Research,1,
Journal of Nanoparticle Research,1,
Journal of Physics D Applied Physics,1,
Journal of Polymer Research,1,
Journal of Quality Technology,1,
Journal of Raman Spectroscopy,1,
Latin American journal of physics education,1,
Materials Letters,1,
Materials Today Communications,1,
Mathematics and Computers in Simulation,1,
Micromachines,1,
Microscopy and Microanalysis,1,
Mobile Networks and Applications,1,
Molecular Simulation,1,
Monthly Notices of the Royal Astronomical Society,1,
MRS Advances,1,
Multimedia Tools and Applications,1,
Nanomaterials,1,
Nanotechnology Reviews,1,
Neurocomputing,1,
Nonconvex optimization and its applications,1,
Omega,1,
Open Astronomy,1,
Operational Research,1,
Ophthalmic Research,1,
Optical Fiber Technology,1,
Optical Materials,1,
Optical Review,1,
Optics Express,1,
Optimal Control Applications and Methods,1,
Optimization,1,
Physica A,1,
Physica E,1,
Physical Review D,1,
Physical review. E,1,
Portugaliae electrochimica acta,1,
Procedia Computer Science,1,
Procedia Materials Science,1,
Quimica Hoy,1,
Recent Patents on Nanotechnology,1,
RELIEVE,1,
Research on Chemical Intermediates,1,
Resistances Journal of the Philosophy of History,1,
Revista AMIUTEM,1,
Revista Ciencia UANL,1,
Revista de Metalurgia,1,
Revista de orientacion educacional,1,
Revista Digital Palabra,1,
Revista ESPACIOS,1,
Revista Guillermo de Ockham,1,
Revista Iberoamericana de Educación,1,
Revista Integración,1,
Revista Lasallista de Investigación,1,
Revista Mexicana de Física E,1,
RIDE,1,
RSC Advances,1,
Sciencevolution,1,
Scientific Reports,1,
Socio-Economic Planning Sciences,1,
Solar Energy Materials and Solar Cells,1,
Solar Physics,1,
Space Weather,1,
Statistics Optimization & Information Computing,1,
Surface Review and Letters,1,
Symmetry,1,
Synthesis and Reactivity in Inorganic Chemistry,1,
Synthesis and Reactivity in Inorganic Metal-Organic and Nano-Metal Chemistry,1,
The Annals of Applied Probability,1,
The Astronomical Journal,1,
The Astrophysical Journal Letters,1,
The Journal of Physical Chemistry A,1,
The Ocular Surface,1,
Topology and its Applications,1,
Transportation Research Part B Methodological,1,
Transportmetrica A Transport Science,1,
Ultrasound in Obstetrics and Gynecology,1,
